Label,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Party?
P162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,democrat
P163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,democrat
P164,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
P165,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?,democrat
P166,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,?,democrat
P167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,republican
P168,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,republican
P169,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?,democrat
P170,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,democrat
P171,y,n,y,n,n,n,?,y,y,?,n,n,n,n,y,?,democrat
P172,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P173,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y,democrat
P174,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
P175,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P176,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,republican
P178,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y,democrat
P179,?,n,y,n,n,n,y,y,y,y,y,?,n,n,y,?,democrat
P180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P181,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?,democrat
P182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P183,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P184,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,democrat
P185,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P186,y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y,democrat
P187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P188,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P189,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?,republican
P190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P191,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?,republican
P192,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?,republican
P193,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
P194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P195,n,n,y,n,n,y,y,?,y,y,y,n,n,n,y,y,democrat
P196,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?,republican
P197,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,?,democrat
P198,n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y,republican
P199,n,n,y,n,n,n,y,y,y,y,y,n,?,n,y,?,democrat
P200,y,y,n,n,n,n,y,y,?,n,y,n,n,n,y,?,democrat
P201,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y,democrat
P202,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P203,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
P204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P205,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
P206,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y,democrat
P207,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
P208,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,republican
P209,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y,democrat
P210,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y,democrat
P211,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
P212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P213,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P214,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,democrat
P215,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P216,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,?,democrat
P217,y,y,y,n,y,y,n,n,?,y,n,n,n,y,y,?,democrat
P218,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P219,y,?,y,n,n,n,y,y,y,n,?,n,n,n,y,?,democrat
P220,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,democrat
P221,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P222,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,?,democrat
P223,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
P224,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,republican
P225,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n,republican
P226,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P227,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
P228,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y,democrat
P229,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,republican
P230,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,republican
P231,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P232,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
P233,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?,democrat
P234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P235,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,?,democrat
P236,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
P237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P238,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,democrat
P239,y,y,y,n,n,n,y,y,?,y,n,n,n,n,y,?,democrat
P240,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,republican
P241,n,n,n,y,n,y,y,?,y,n,n,y,y,y,n,y,republican
P242,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
P243,n,n,n,n,y,y,y,n,n,n,n,?,n,y,y,y,republican
P244,n,y,y,n,n,n,y,y,?,y,n,n,y,n,y,y,democrat
P245,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y,democrat
P246,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,?,y,democrat
P248,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,republican
P249,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,republican
P250,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y,democrat
P251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P252,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
P254,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P255,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
P256,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,democrat
P257,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,republican
P258,n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y,republican
P259,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P260,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
P261,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
P262,y,n,y,n,n,?,y,y,y,n,?,?,n,?,?,?,democrat
P263,y,n,y,n,n,n,y,y,y,y,n,n,?,n,y,y,democrat
P264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P265,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P266,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
P267,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
P268,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,republican
P269,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
P271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P272,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y,democrat
P273,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,?,democrat
P274,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,republican
P275,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,republican
P276,n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n,democrat
P277,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,republican
P278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,republican
P279,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P280,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,democrat
P282,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,?,republican
P283,y,n,n,y,y,y,n,n,n,y,n,?,y,y,n,n,republican
P284,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P285,n,n,y,n,n,y,y,y,y,y,y,n,n,n,?,y,democrat
P286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
P287,n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?,democrat
P288,y,y,y,?,n,y,y,y,y,n,y,n,y,n,?,y,democrat
P289,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,democrat
P290,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,?,democrat
P291,y,n,y,n,?,y,?,y,y,y,n,n,y,y,n,y,democrat
P292,y,n,y,n,n,y,y,y,y,y,n,?,n,y,n,y,democrat
P293,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y,democrat
P294,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,democrat
P295,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?,democrat
P296,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?,republican
P297,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,republican
P298,y,y,y,n,n,y,y,y,y,y,n,n,?,n,y,?,democrat
P299,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y,democrat
P301,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,republican
P302,n,n,?,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
P303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,republican
P304,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,republican
P306,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?,democrat
P309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P310,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat
P311,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,republican
P312,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,democrat
P313,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P314,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P315,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,republican
P316,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?,republican
P317,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n,democrat
P318,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P320,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P321,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y,democrat
P322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y,democrat
P323,y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?,democrat
P324,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?,democrat
P325,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
P326,n,y,n,n,y,y,n,n,?,n,n,y,y,y,n,y,democrat
P327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y,democrat
P328,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P329,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
P330,y,?,y,n,n,y,y,y,y,y,n,n,n,n,y,?,democrat
P331,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P332,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P333,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
P334,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P335,n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y,democrat
P336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?,republican
P337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y,democrat
P338,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P339,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,democrat
P340,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
P341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,republican
P342,n,?,y,?,n,y,y,y,y,y,y,n,?,?,y,y,democrat
P343,n,y,y,n,y,?,y,n,n,y,y,n,y,n,y,y,democrat
P344,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,republican
P345,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P346,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y,republican
P347,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P349,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?,democrat
P350,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,republican
P351,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y,democrat
P352,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,republican
P353,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,?,democrat
P354,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y,republican
P355,n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y,democrat
P356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,republican
P357,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P358,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P359,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,?,democrat
